Nombre,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024
Ursus Wigger,N/A,,,,,,37.39
Yassine Ben Younes,1939,,,,,39.43,37.39
Daniel Emeka-Ilozor,1925,,8.45,6.27,11.46,,36.83
Lazaros Karageorgiou,2123,,,,,34.00,36.54
Ghulam Junaid,1816,,,,,,36.26
Gabee De Vera,1846,,,,,,35.98
Mohammed Wawi,1970,,,,,17.43,35.69
Gustav Bille Gørtz,N/A,,,,,35.71,35.41
Brest Lenarčič,N/A,,,,,33.71,35.13
Marwen El Arbi,1666,,,,,,34.84
Adnan Osmić,1780,,,,,,34.56
Camilo Triana Barata,1890,,,,,11.43,34.28
Musharraf Shukrulloev,2150,,,,19.20,33.14,33.99
Anastasiia Saranchina,1960,,,,,,33.71
Shuheng Wei,1190,,,,,,33.43
Deera Wijesundara,N/A,,,,,,33.14
Huseyn Aghayev,1821,,,,,,33.14
Rushdi Jallad,1579,,,,,,33.14
Frederik Vase Haraldsson,N/A,,,,,,32.29
Joaquim Schaeverbeke,1789,,,,,,32.01
Maria Clara Fontes Silva,2070,,,,,,31.73
Georgios-Diomedes Varvaresos,N/A,,,,,,31.44
Ismail Fateen,1734,,,,,,31.16
Faruk Demirović,1824,,,,,,30.88
Saad Alarifi,1611,,,,,,30.59
Ulug'bek Rakhmatullaev,1874,,,,,,30.31
Aidas Agejevas,N/A,,,,,,30.03
Desh Acharjee,2010,,,,,,29.75
Hasani Ghulomzoda,1688,,,,,24.00,29.46
Fernando Andreé González Meléndez,N/A,,,7.69,18.05,21.71,29.18
Maxwell He,2193,,,,,,28.90
Žan Pustoslemšek,N/A,,,,,,28.90
Viliam Gottweis,1387,,,,,,28.33
Io Fai Lei,N/A,,,,,45.43,28.05
Adriāns Piliksers,N/A,,,,,53.43,27.76
Boas Bakker,1682,,,,,12.57,27.48
Alejandro Pineda Miranda,N/A,,,,,22.29,27.20
Niilo Mikkola,N/A,,,,,,26.91
Antreas Leonidou,1646,,,,,24.00,26.63
Praveen Athauda-Arachchi,N/A,,,,,,26.35
Pok Hong Lam,N/A,,,,,27.71,26.06
Alban Van Vyve,N/A,,,,,11.71,25.78
Kareem Kayid,1668,,,,,,25.50
Jesse Zhang,N/A,,,,,,25.21
Davit Dzadzamia,1594,,,,,,24.93
Tomás Faria,1056,,,13.39,6.30,26.00,24.65
Xu Yian,N/A,,,,,,24.65
Rosangel Alexandra Bullon Linares,N/A,,,,,,24.08
Sofie Fu,1010,,,,,,23.80
Walsh Letran,1725,,,,,,23.51
Diana Huacasi Durand,N/A,,,,,9.43,23.23
Tamir Jamiyangarav,1534,,,,,,22.95
Andrejs Piroženoks,N/A,,,,,,22.66
Pierre Rouchès,1187,,,,,,22.38
Mousa Hamed,1647,,,,,,22.10
Viktor Maksimoski,1840,,,,,,21.81
Matias Francisco Nova Baza,408,,,,,9.14,21.53
Héctor Verdeal Rodríguez,1883,,,,,,21.25
Yhlas Amanmyradov,1625,,,,,,20.96
Nebili Mohamed Fares,1665,,,,,,20.68
Piotr Stelmaszek,399,,,,,,20.40
Kristinn Hrafn Daníelsson,N/A,,,,,7.14,20.11
Hlieb Boiarkin,N/A,,,,,,19.83
Santiago Guaneme Quintero,1429,,,,,,19.55
Edvards Freimanis,N/A,,,,,,19.26
Laura Muliar,N/A,,,,,16.29,18.98
Akram Zakine,N/A,,,,,,18.70
Yassir Salama,1691,,,,,,18.41
Mohamed Wassim Fkih,1652,,,,,,18.13
Edgardo León,1315,,,,,,17.85
Peter Zhou,N/A,,,,,,17.56
Mindiya Karunasinghe,N/A,,,,,23.43,17.28
Sofija Velkovska,1568,,,,14.33,,17.00
Arthur Harri Jaakko Antila,N/A,,,,,,16.71
Erkhem Ganzorig,1491,,,,,,16.43
Ralf Robert Paabo,N/A,,,,,16.29,16.43
Gabriel Alberto Cruz Nogales,1437,,,,,8.86,15.86
Antero Nyberg,N/A,,,,,,15.58
Raed Naseer,1307,,,,5.44,19.71,15.30
Francis José Rodríguez Ronda,1609,,,,,,15.01
Roberto Josué Polanco Hernández,N/A,,,,,,14.73
Eva Sóllilja Einarsdóttir,N/A,,,,,,14.45
Albara Abdulhafith,1295,,,,,,14.16
Fionn Kimber O'Shea,1381,,,,,7.43,13.88
Oscar José Pleités Lemus,1414,,,,,4.57,13.60
Miguel Pereira,N/A,,,,,,13.31
Atas Lapenas,N/A,,,,,,13.03
Fabrizio Lautaro Brandellero,1158,,,,,,12.75
Abdallah Sherbini,N/A,,,,,,12.46
Baldwin Huang,1173,,,,,,12.18
Samuel Leber,1409,,,,,,11.90
Shamir Leonardo Terán Mustafá,1630,,,,2.29,12.29,11.61
Hlib Zabudko,N/A,,,,,11.14,11.33
Halymmuhammet Annageldyyev,1470,,,,,4.29,11.05
Maité Morales Carreras,1599,,,,,,11.05
Han Yang,1378,,,,,,10.48
Aleksander Emil Moltu,N/A,,,,,,10.20
Simón Martínez,1039,,,,,,9.92
Þórhallur Tryggvason,N/A,,,,,,9.63
Lucas Kuunders,N/A,,,,,,9.35
Aybak Samiz,920,,,,,,9.07
Anri Esoev,1965,,,,,,8.78
Francisco Pinhao,1266,,,,,,8.50
Juan José Läderach,1598,,,,,,8.22
Malik Sadaqa,2118,,,5.70,7.45,38.00,7.93
Hojamuhammet Hydyrov,1387,,,,,,7.65
Sami Almajali,1493,,,,,,7.37
Rubdary Valentina Rojas Linarez,N/A,,,1.99,7.74,14.00,7.08
Tom Philippe Roth,N/A,,,,,,6.80
Balsa Radulovic,N/A,,,,,,6.52
Mohammed Cherki,1407,,,,,,6.52
Belcar Santiago Cuentas-Zavala Infante,N/A,,,,,24.57,5.95
Agustin Leonardo Arnez Alcocer,1279,,,,,,5.67
Didar Choganov,1239,,,,,2.29,5.38
Arben Kryemadhi,N/A,,,,,,5.10
Juan David Onofre Florián,1030,,,,,3.71,4.82
Raphael Le Goaller,N/A,,,,,,4.53
Mateo Neira,N/A,,,,,,4.25
Andrew Batista García,986,,,,,,3.97
Shuyang Feng,N/A,,,,,,3.68
Roberto Valverde Abad,N/A,,,,,2.29,3.40
Adriano Augusto Hernández Rodríguez,1029,,,,,,3.12
Ahmed Albakoush,734,,,,,,3.12
Fadel Elsenusi,984,,,,,,3.12
Assil Abderrezak Boukhnoufa,572,,,,,,2.27
Rubin Bekteshi,N/A,,,,,,1.98
Mohammed Hachem,N/A,,,,,,1.70
Steven Mera,N/A,,,,1.15,2.29,1.42
Blendi Avdolli,N/A,,,,,,1.13
Mathías Rivera,N/A,,,,,,1.13
Nzubechukwu Chendo,N/A,,,,,,1.13
