Nombre,Handle de Codeforces,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024,Pais
Jarif Rahman,Jarif_Rahman,2114,,,,36.96,56.29,58.92,Bangladesh
Muhammad Umair Ahmad Mirza,M.UmairAhmadMirza,1847,,,,,,58.64,Pakistan
Akhmet Issa,Issa,2114,,,,,,58.36,Kazakhstan
Andrei Sabalenka,mechakotik,2124,,,,,,58.07,Russia
Marco Antonio Escandón García,marco_escandon,1935,,,,,27.43,57.79,Cuba
Anton Avilov,anton6,2164,,,,,,57.51,France
Amin Charba,aminsh,2171,,,,53.58,53.14,57.22,Syria
Hugo Bruwer,N/A,N/A,,,,,,56.94,South Africa
Jan Slíva,honzinsliva,N/A,,,,,,56.66,Czechia
Victor Coen,N/A,N/A,,,,,,56.37,New Zealand
Martin Šindelář,IMackerI,2209,,,,,,56.09,Slovakia
Ahmed Alhashim,vahmad,1942,,,,,,55.81,Saudi Arabia
Chang Jun Lim,N/A,N/A,,,,,,55.52,Malaysia
Adeeb AlShehry,MrDeboo,1911,,,,26.65,35.71,55.24,Saudi Arabia
Pedro Suyama Leston Rey,_rey,2307,,,,,70.86,54.96,Brazil
Sun Beichen,TheRaptor0225,2095,,,,,,54.67,Singapore
Yaël Arn,42kangaroo,1914,,,,,,54.39,Switzerland
Øystein Berntzen,N/A,N/A,,,,,38.00,54.11,Norway
Victor Vatn,goben,2252,,,68.95,40.40,44.00,53.82,Sweden
Gunadi Gani,kimmoqt,2158,,,,,,53.54,Indonesia
Mardon Hazratov,MardonbekHazratov,1924,,,,,,53.26,Uzbekistan
Uroš Kostadinović,urosk,2143,,,,,,52.97,Serbia
Kaleem Raza Syed,Kaleem_Raza_Syed,1834,,,,,,52.69,Pakistan
José Andrés Lemus Velazquez,joseandreslemus,1866,,,,,,52.41,Mexico
Sebastian Meineche Falk,N/A,N/A,,,,,,52.12,Denmark
Mikhail Brel,qilby,2267,,,,,62.86,51.84,Russia
Patrik Číhal,0npata,2044,,,,,,51.56,Czechia
Tomas Marcinkevičius,N/A,N/A,,,,,,51.56,Lithuania
Tsovak Yegoryan,tsovak,1994,,,,,64.57,50.99,Armenia
Mihai Esanu,mesanu,2006,,,,,,50.71,Moldova
Akib Azmain Turja,AkibAzmain,1805,,,,,,50.42,Bangladesh
Raouf Ould Ali,speedcode,1792,,,,,,50.14,Algeria
Hakob Ayvazyan,c2zi6,1924,,,,,,49.86,Armenia
David Hromádka,Trustfulcomic,1856,,,,,,49.58,Czechia
Aleks Grigoryan,alex_2008,1966,,,,,,49.29,Armenia
Yan Xun Khor,N/A,N/A,,,,,,49.01,Malaysia
Santiago de la Torre Zamudio,efishel,2117,,,,,,48.73,Mexico
Zsombor Bata,zsombor,2124,,,,,,48.44,Hungary
Fuad Garayev,fuad720,2103,,,,31.81,50.29,48.16,Azerbaijan
Benjamin Mujkić,EJOI_Gold,2102,,,48.43,46.42,44.57,47.88,Bosnia and Herzegovina
Muhammad Saram,Muhammad-Saram,2090,,,,,,47.88,Pakistan
Tsz Chai Berton Choy,onbert,2110,,,,,,47.31,Hong Kong
Ziyan Wang,N/A,N/A,,,,,,47.03,Macao
Hadi Suleiman,edogawa_something,2106,,,,,,46.74,Syria
Anango Prabhat,anango,2322,,,,,,46.46,United Kingdom
Irakli Sulamanidze,Phantom_Performer,2013,,,,,59.14,46.18,Georgia
Yuan Li,yuan_li,1648,,,,,27.43,45.89,Ireland
Abdulaziz Lebiev,Relice,1757,,,,,,45.61,Kyrgyzstan
Khusanboy Mansuraliev,Husanboy,1984,,,,14.90,,45.33,Uzbekistan
Logan Guerrero Díaz,LoganGD,2073,,,,,,45.04,Mexico
Otar Tsibadze,otarius,1865,,,,,,44.76,Georgia
Malitha Bandara,N/A,N/A,,,,,,44.48,Sri Lanka
Patrik Prítrský,pritrskypatrik,1612,,,,,,44.19,Slovakia
Abdullah Abdullah,Abito,1951,,,,,,43.91,Syria
Marian Soltan,_Vanilla_,1921,,,,15.76,,43.63,Moldova
Zein Alabdeen Zammar,nerozein,2150,,,,,42.00,43.34,Syria
Alin Popescu,alinp,2167,,,,,,43.06,Moldova
Tamás Görömbey,gortomi,2317,,,,,,42.78,Hungary
Emmanuel Buenrostro Briseño,SopaconK,1835,,,,,,42.49,Mexico
Blagoj Rujanoski Stojanovski,Blagoj,1650,,,,,33.71,42.21,North Macedonia
Sunnatov Asilbek,Sunnatov,2127,,,,,41.43,41.93,Uzbekistan
Youkyum Kim,N/A,N/A,,,,,20.29,41.64,South Africa
Daniel Nieto Pérez,danx,2108,,,,,,41.36,Spain
Antreas Knais,trumling,1891,,,,,37.43,41.08,Cyprus
Nik Sauer,N/A,N/A,,,,,,40.79,Austria
Raphael Heuchl,N/A,N/A,,,,,,40.51,Austria
Sofia Maragò,N/A,N/A,,,,,,40.23,Luxembourg
Essa Almousa,essa2006,1603,,,,,48.00,39.94,Saudi Arabia
Musojon Muhammadiev,MmusoM,1785,,,,,,39.94,Tajikistan
Noé Zech,nonoze,2097,,,,,6.00,39.94,Belgium
Daniel Ye,Trentium,2168,,,,,,39.09,Canada
Daniel Holm Rasmussen,N/A,N/A,,,,,20.86,38.81,Denmark
Luka Heric,N/A,N/A,,,,,,38.81,Slovenia
Mahdi Benkhadra,PotatoTheWarrior2,1528,,,,,,38.24,Morocco
Kipras Deksnys,N/A,N/A,,,,,,37.96,Lithuania
Tahir Aliyev,Tahirliyev,1895,,,,,,37.68,Azerbaijan
Ursus Wigger,Ursus5805,N/A,,,,,,37.39,Switzerland
Yassine Ben Younes,yassinebenyounes,1939,,,,,39.43,37.39,Tunisia
Daniel Emeka-Ilozor,Dan4Life,1925,,8.45,6.27,11.46,,36.83,Nigeria
Lazaros Karageorgiou,kalarry,2123,,,,,34.00,36.54,Greece
Ghulam Junaid,Ghulam_Junaid,1816,,,,,,36.26,Pakistan
Gabee De Vera,ProtonDecay314,1846,,,,,,35.98,Philippines
Mohammed Wawi,Wawi_,1970,,,,,17.43,35.69,Palestine
Gustav Bille Gørtz,N/A,N/A,,,,,35.71,35.41,Denmark
Brest Lenarčič,N/A,N/A,,,,,33.71,35.13,Slovenia
Marwen El Arbi,MarwenElarbi,1666,,,,,,34.84,Tunisia
Adnan Osmić,naneosmic,1780,,,,,,34.56,Bosnia and Herzegovina
Camilo Triana Barata,ctb220406,1890,,,,,11.43,34.28,Cuba
Musharraf Shukrulloev,outfinity,2150,,,,19.20,33.14,33.99,Tajikistan
Anastasiia Saranchina,qwusha,1960,,,,,,33.71,Sweden
Shuheng Wei,UncreativeDev,1190,,,,,,33.43,Germany
Deera Wijesundara,N/A,N/A,,,,,,33.14,Sri Lanka
Huseyn Aghayev,Huseyn123,1821,,,,,,33.14,Azerbaijan
Rushdi Jallad,Rushdi,1579,,,,,,33.14,Palestine
Frederik Vase Haraldsson,N/A,N/A,,,,,,32.29,Denmark
Joaquim Schaeverbeke,Ludissey,1789,,,,,,32.01,Belgium
Maria Clara Fontes Silva,clarinha,2070,,,,,,31.73,Brazil
Georgios-Diomedes Varvaresos,N/A,N/A,,,,,,31.44,Greece
Ismail Fateen,ismail-but-noob,1734,,,,,,31.16,Egypt
Faruk Demirović,glupan,1824,,,,,,30.88,Bosnia and Herzegovina
Saad Alarifi,Erering,1611,,,,,,30.59,Saudi Arabia
Ulug'bek Rakhmatullaev,heaven2808h,1874,,,,,,30.31,Uzbekistan
Aidas Agejevas,N/A,N/A,,,,,,30.03,Lithuania
Desh Acharjee,Desh01,2010,,,,,,29.75,Bangladesh
Hasani Ghulomzoda,hasan06,1688,,,,,24.00,29.46,Tajikistan
Fernando Andreé González Meléndez,N/A,N/A,,,7.69,18.05,21.71,29.18,El Salvador
Maxwell He,Mkswll,2193,,,,,,28.90,Canada
Žan Pustoslemšek,N/A,N/A,,,,,,28.90,Slovenia
Viliam Gottweis,viliamgott,1387,,,,,,28.33,Slovakia
Io Fai Lei,N/A,N/A,,,,,45.43,28.05,Macao
Adriāns Piliksers,N/A,N/A,,,,,53.43,27.76,Latvia
Boas Bakker,Boas,1682,,,,,12.57,27.48,Netherlands
Alejandro Pineda Miranda,N/A,N/A,,,,,22.29,27.20,Peru
Niilo Mikkola,N/A,N/A,,,,,,26.91,Finland
Antreas Leonidou,aleonidou,1646,,,,,24.00,26.63,Cyprus
Praveen Athauda-Arachchi,N/A,N/A,,,,,,26.35,Sri Lanka
Pok Hong Lam,N/A,N/A,,,,,27.71,26.06,Macao
Alban Van Vyve,N/A,N/A,,,,,11.71,25.78,Belgium
Kareem Kayid,blushinghentaigirl,1668,,,,,,25.50,Palestine
Jesse Zhang,N/A,N/A,,,,,,25.21,New Zealand
Davit Dzadzamia,DzadzoD,1594,,,,,,24.93,Georgia
Tomás Faria,TFF,1056,,,13.39,6.30,26.00,24.65,Portugal
Xu Yian,N/A,N/A,,,,,,24.65,South Africa
Rosangel Alexandra Bullon Linares,N/A,N/A,,,,,,24.08,Peru
Sofie Fu,slushtre,1010,,,,,,23.80,Sweden
Walsh Letran,Ausp3x,1725,,,,,,23.51,Philippines
Diana Huacasi Durand,N/A,N/A,,,,,9.43,23.23,Peru
Tamir Jamiyangarav,tamir1,1581,,,,,,22.95,Mongolia
Andrejs Piroženoks,N/A,N/A,,,,,,22.66,Latvia
Pierre Rouchès,pierre.rouches,1187,,,,,,22.38,Dominican Republic
Mousa Hamed,Mousa_Aboubaker,1647,,,,,,22.10,Libya
Viktor Maksimoski,VMaksimoski008,1840,,,,,,21.81,North Macedonia
Matias Francisco Nova Baza,Bors__,408,,,,,9.14,21.53,Chile
Héctor Verdeal Rodríguez,Hectorungo_18,1883,,,,,,21.25,Spain
Yhlas Amanmyradov,stdfloat,1625,,,,,,20.96,Turkmenistan
Nebili Mohamed Fares,faresnebili,1665,,,,,,20.68,Tunisia
Piotr Stelmaszek,pitu,399,,,,,,20.40,Ireland
Kristinn Hrafn Daníelsson,N/A,N/A,,,,,7.14,20.11,Iceland
Hlieb Boiarkin,N/A,N/A,,,,,,19.83,Portugal
Santiago Guaneme Quintero,Guanexxx,1501,,,,,,19.55,Colombia
Edvards Freimanis,N/A,N/A,,,,,,19.26,Latvia
Laura Muliar,N/A,N/A,,,,,16.29,18.98,Portugal
Akram Zakine,N/A,N/A,,,,,,18.70,Belgium
Yassir Salama,YassirSalama4,1691,,,,,,18.41,Morocco
Mohamed Wassim Fkih,Friday_night,1652,,,,,,18.13,Tunisia
Edgardo León,EdL,1315,,,,,,17.85,Chile
Peter Zhou,N/A,N/A,,,,,,17.56,New Zealand
Mindiya Karunasinghe,N/A,N/A,,,,,23.43,17.28,Sri Lanka
Sofija Velkovska,coolplum,1679,,,,14.33,,17.00,North Macedonia
Arthur Harri Jaakko Antila,N/A,N/A,,,,,,16.71,Estonia
Erkhem Ganzorig,ezzzay,1491,,,,,,16.43,Mongolia
Ralf Robert Paabo,N/A,N/A,,,,,16.29,16.43,Estonia
Gabriel Alberto Cruz Nogales,Gabriel___,1437,,,,,8.86,15.86,Bolivia
Antero Nyberg,N/A,N/A,,,,,,15.58,Finland
